location_description,Area,Building,Campus,Company,Facility,Room,Site,location_full_name,test_type_code,test_type_desc,site_description,metric_nm,metric_id,group_map_json_obj
Personalschleuse Herren,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Personalschleuse Herren,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_105,ACTIVEAIR_AA,LI_VIABAIR_TSA,Raummitte,% CRR,21,"[{""location_description"":""Personalschleuse Herren"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Personalschleuse Herren"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_105"",""test_type_code"":""ACTIVEAIR_AA"",""test_type_desc"":""LI_VIABAIR_TSA"",""site_description"":""Raummitte""}]"
Personalschleuse Herren,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Personalschleuse Herren,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_105,ORG,LI_Org ID (MOLD),Raummitte,% CRR,22,"[{""location_description"":""Personalschleuse Herren"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Personalschleuse Herren"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_105"",""test_type_code"":""ORG"",""test_type_desc"":""LI_Org ID (MOLD)"",""site_description"":""Raummitte""}]"
Personalschleuse Herren,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Personalschleuse Herren,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_105,SURFACE_AA,LI_VIABSURF_TSA,Türblatt von Türe zu R.140A,% CRR,23,"[{""location_description"":""Personalschleuse Herren"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Personalschleuse Herren"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_105"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Türblatt von Türe zu R.140A""}]"
Personalschleuse Herren,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Personalschleuse Herren,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_105,SURFACE_AA,LI_VIABSURF_TSA,Seitenfläche Spinde links,% CRR,24,"[{""location_description"":""Personalschleuse Herren"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Personalschleuse Herren"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_105"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Seitenfläche Spinde links""}]"
Personalschleuse Herren,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Personalschleuse Herren,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_105,SURFACE_AA,LI_VIABSURF_TSA,Seitenfläche Spinde rechts,% CRR,25,"[{""location_description"":""Personalschleuse Herren"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Personalschleuse Herren"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_105"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Seitenfläche Spinde rechts""}]"
Personalschleuse Damen,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Personalschleuse Damen,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_106,ACTIVEAIR_AA,LI_VIABAIR_TSA,Raummitte - Raum 106,% CRR,26,"[{""location_description"":""Personalschleuse Damen"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Personalschleuse Damen"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_106"",""test_type_code"":""ACTIVEAIR_AA"",""test_type_desc"":""LI_VIABAIR_TSA"",""site_description"":""Raummitte - Raum 106""}]"
Personalschleuse Damen,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Personalschleuse Damen,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_106,SURFACE_AA,LI_VIABSURF_TSA,Türblatt von Türe zu R.140A - Raum 106,% CRR,27,"[{""location_description"":""Personalschleuse Damen"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Personalschleuse Damen"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_106"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Türblatt von Türe zu R.140A - Raum 106""}]"
Personalschleuse Damen,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Personalschleuse Damen,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_106,SURFACE_AA,LI_VIABSURF_TSA,Seitenfläche Spinde links - Raum 106,% CRR,28,"[{""location_description"":""Personalschleuse Damen"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Personalschleuse Damen"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_106"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Seitenfläche Spinde links - Raum 106""}]"
Personalschleuse Damen,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Personalschleuse Damen,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_106,SURFACE_AA,LI_VIABSURF_TSA,Seitenfläche Spinde mittig - Raum 106,% CRR,29,"[{""location_description"":""Personalschleuse Damen"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Personalschleuse Damen"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_106"",""test_type_code"":""SURFACE_AA"",""test_type_desc"":""LI_VIABSURF_TSA"",""site_description"":""Seitenfläche Spinde mittig - Raum 106""}]"
Personalschleuse Damen,Clean Room Class G,Level 01,Linz,Takeda Global,Building 33,Personalschleuse Damen,"",TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_106,ORG,LI_Org ID (MOLD),Seitenfläche Spinde mittig - Raum 106,% CRR,30,"[{""location_description"":""Personalschleuse Damen"",""Area"":""Clean Room Class G"",""Building"":""Level 01"",""Campus"":""Linz"",""Company"":""Takeda Global"",""Facility"":""Building 33"",""Room"":""Personalschleuse Damen"",""Site"":"""",""location_full_name"":""TAK -> Linz -> LI33 -> LI33_01 -> Grade_G -> LI3301_G_106"",""test_type_code"":""ORG"",""test_type_desc"":""LI_Org ID (MOLD)"",""site_description"":""Seitenfläche Spinde mittig - Raum 106""}]"
